               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.16047,            0.062751,                   0,          0.00044444,           0.0020747,          0.00023419,          4.8189e-05,             0.14669,             0.11588,                   0,              0.0017,              0.0017,              0.0847
                   1,             0.14862,             0.07743,                   0,            0.011746,            0.048755,           0.0060478,           0.0012592,             0.14039,             0.10875,                   0,           0.0034861,           0.0034861,            0.068486
                   2,             0.14241,            0.076796,                   0,            0.067111,            0.077801,            0.024869,           0.0049371,             0.13676,             0.10825,                   0,            0.005258,            0.005258,            0.052258
                   3,             0.13836,            0.083438,                   0,            0.093621,             0.23444,            0.052723,            0.011818,             0.12984,             0.11714,                   0,           0.0070157,           0.0070157,            0.036016
                   4,             0.13303,             0.09462,                   0,            0.066396,             0.10062,            0.027496,           0.0060117,             0.12841,             0.14386,                   0,            0.008759,            0.008759,            0.019759
                   5,             0.13184,            0.095641,                   0,            0.050351,             0.15041,            0.028318,           0.0058644,             0.12786,             0.19212,                   0,            0.009802,            0.009802,            0.009802
                   6,             0.13033,             0.10456,                   0,            0.086319,             0.37759,            0.058569,            0.014586,             0.12629,             0.22088,                   0,            0.009802,            0.009802,            0.009802
                   7,             0.12611,             0.11102,                   0,             0.20885,             0.25207,             0.10802,            0.023824,             0.12482,             0.17548,                   0,           0.0097624,           0.0097624,           0.0097624
                   8,             0.12166,             0.12118,                   0,             0.35655,             0.36722,             0.28918,            0.073077,             0.11265,              0.1587,                   0,           0.0097228,           0.0097228,           0.0097228
                   9,             0.12121,             0.12371,                   0,             0.34749,             0.41079,             0.24993,            0.064111,             0.11703,             0.17015,                   0,           0.0096832,           0.0096832,           0.0096832
                  10,             0.11596,             0.11595,                   0,             0.25996,             0.46266,             0.19939,            0.046706,             0.11057,             0.17011,                   0,           0.0096436,           0.0096436,           0.0096436
                  11,             0.11599,              0.1206,                   0,             0.57919,             0.54397,             0.47488,             0.12906,             0.10422,             0.16473,                   0,            0.009604,            0.009604,            0.009604
                  12,             0.11326,             0.12092,                   0,             0.60564,             0.52413,             0.50312,             0.12856,             0.10259,             0.14992,                   0,           0.0095644,           0.0095644,           0.0095644
                  13,             0.11177,             0.12848,                   0,             0.56161,             0.60201,             0.53927,             0.17398,             0.10373,              0.1535,                   0,           0.0095248,           0.0095248,           0.0095248
                  14,             0.11217,             0.12272,                   0,             0.74532,             0.65145,             0.64193,             0.19715,            0.099519,              0.1468,                   0,           0.0094852,           0.0094852,           0.0094852
                  15,             0.11126,             0.12399,                   0,             0.44336,             0.48029,             0.32642,            0.077892,             0.10797,             0.15063,                   0,           0.0094456,           0.0094456,           0.0094456
                  16,             0.11004,             0.12425,                   0,             0.75086,             0.55962,             0.64565,             0.22031,            0.096125,             0.15358,                   0,            0.009406,            0.009406,            0.009406
                  17,             0.10951,             0.12673,                   0,             0.75543,             0.64834,             0.69779,              0.2197,            0.093126,             0.14813,                   0,           0.0093664,           0.0093664,           0.0093664
                  18,             0.10529,             0.12583,                   0,             0.85806,             0.69607,             0.76723,             0.27652,            0.092309,             0.14402,                   0,           0.0093268,           0.0093268,           0.0093268
                  19,             0.10741,             0.13335,                   0,             0.71696,               0.611,             0.59902,             0.15098,             0.10136,             0.14562,                   0,           0.0092872,           0.0092872,           0.0092872
                  20,             0.10498,             0.12385,                   0,             0.83462,             0.67116,             0.74362,             0.27689,            0.093472,             0.14113,                   0,           0.0092476,           0.0092476,           0.0092476
                  21,             0.10551,             0.13194,                   0,             0.82149,             0.72614,             0.75913,             0.25198,            0.091659,             0.14467,                   0,            0.009208,            0.009208,            0.009208
                  22,             0.10377,             0.12359,                   0,             0.82238,             0.65798,              0.6768,             0.17838,            0.094791,             0.14232,                   0,           0.0091684,           0.0091684,           0.0091684
                  23,             0.10506,             0.12671,                   0,             0.85346,             0.75518,             0.81293,              0.3154,            0.087694,             0.14293,                   0,           0.0091288,           0.0091288,           0.0091288
                  24,             0.10471,             0.12813,                   0,             0.81238,             0.64679,             0.71978,             0.20351,            0.097114,             0.14259,                   0,           0.0090892,           0.0090892,           0.0090892
                  25,             0.10233,             0.13187,                   0,             0.85309,             0.75726,             0.81376,             0.30283,             0.08677,             0.14102,                   0,           0.0090496,           0.0090496,           0.0090496
                  26,             0.10164,             0.12424,                   0,             0.88958,             0.72822,             0.81412,             0.31133,            0.087644,             0.14043,                   0,             0.00901,             0.00901,             0.00901
                  27,             0.10225,             0.13348,                   0,             0.79848,             0.68361,             0.73203,             0.20987,            0.091239,             0.14399,                   0,           0.0089704,           0.0089704,           0.0089704
                  28,             0.10264,              0.1268,                   0,             0.91377,             0.73648,             0.83886,             0.35577,            0.088824,               0.139,                   0,           0.0089308,           0.0089308,           0.0089308
                  29,             0.10159,             0.12776,                   0,             0.85285,             0.72746,             0.77305,             0.23671,            0.090975,             0.14376,                   0,           0.0088912,           0.0088912,           0.0088912
                  30,             0.10025,             0.12575,                   0,             0.89935,             0.71473,              0.8228,             0.33374,            0.086494,             0.14035,                   0,           0.0088516,           0.0088516,           0.0088516
                  31,            0.099155,             0.12713,                   0,             0.84303,             0.74274,             0.80033,             0.25278,            0.089412,             0.14193,                   0,            0.008812,            0.008812,            0.008812
                  32,             0.09879,             0.12751,                   0,             0.75287,             0.77697,             0.81222,             0.34584,            0.085391,             0.13989,                   0,           0.0087724,           0.0087724,           0.0087724
                  33,            0.099936,             0.12714,                   0,             0.82249,             0.74504,             0.79176,             0.25497,            0.090899,             0.14537,                   0,           0.0087328,           0.0087328,           0.0087328
