               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.16046,            0.062766,                   0,          0.00066667,           0.0034443,          0.00033947,          0.00010136,               0.146,             0.11122,                   0,              0.0017,              0.0017,              0.0847
                   1,             0.14863,            0.077483,                   0,            0.012889,             0.06659,           0.0076354,           0.0015289,             0.13952,             0.10497,                   0,           0.0034769,           0.0034769,            0.068477
                   2,             0.14243,            0.076795,                   0,            0.093232,             0.11596,            0.042044,           0.0071295,             0.13565,             0.10353,                   0,             0.00523,             0.00523,             0.05223
                   3,             0.13836,             0.08362,                   0,            0.093285,             0.22273,            0.055167,            0.012616,             0.12845,             0.11463,                   0,           0.0069594,           0.0069594,            0.035959
                   4,             0.13281,            0.091348,                   0,             0.11238,             0.25144,            0.079588,            0.020295,             0.12632,             0.12212,                   0,            0.008665,            0.008665,            0.019665
                   5,              0.1319,             0.10383,                   0,           0.0053333,            0.027555,           0.0027416,          0.00056582,              0.1324,             0.17076,                   0,             0.00967,             0.00967,             0.00967
                   6,             0.12873,             0.13963,                   0,             0.16553,             0.36739,             0.12071,            0.027824,             0.12125,             0.27554,                   0,             0.00967,             0.00967,             0.00967
                   7,             0.12772,             0.13666,                   0,           0.0069813,            0.013777,           0.0021106,          0.00034998,             0.13645,             0.13546,                   0,            0.009604,            0.009604,            0.009604
                   8,             0.12765,             0.13616,                   0,            0.092437,              0.1527,            0.053044,            0.012016,             0.12662,             0.14159,                   0,            0.009538,            0.009538,            0.009538
                   9,             0.12471,             0.12432,                   0,             0.23368,             0.38232,             0.22449,            0.060429,              0.1215,             0.21011,                   0,            0.009472,            0.009472,            0.009472
                  10,             0.11898,             0.11465,                   0,             0.37633,             0.40184,             0.37102,              0.1066,             0.11348,             0.20079,                   0,            0.009406,            0.009406,            0.009406
                  11,             0.11725,             0.11745,                   0,             0.37064,             0.46269,             0.33416,            0.094374,             0.11664,             0.23418,                   0,             0.00934,             0.00934,             0.00934
                  12,             0.11649,             0.11798,                   0,             0.41334,             0.53227,             0.34963,             0.10329,             0.10618,             0.18109,                   0,            0.009274,            0.009274,            0.009274
                  13,             0.11401,             0.12656,                   0,             0.46567,             0.48335,             0.35248,             0.09166,             0.10806,             0.16183,                   0,            0.009208,            0.009208,            0.009208
                  14,             0.11263,             0.12239,                   0,             0.67291,             0.60964,             0.61433,             0.21249,             0.10013,              0.1501,                   0,            0.009142,            0.009142,            0.009142
                  15,             0.11208,              0.1238,                   0,             0.44362,             0.52583,              0.3925,             0.10217,             0.10295,             0.15851,                   0,            0.009076,            0.009076,            0.009076
                  16,             0.11168,             0.12223,                   0,              0.7615,             0.65786,               0.707,             0.25438,             0.09429,             0.13878,                   0,             0.00901,             0.00901,             0.00901
                  17,             0.11018,             0.12584,                   0,             0.74266,             0.60046,             0.63895,             0.20746,            0.095109,             0.14044,                   0,            0.008944,            0.008944,            0.008944
                  18,             0.10641,             0.12431,                   0,             0.77536,             0.68555,             0.72254,             0.27152,            0.092232,             0.14488,                   0,            0.008878,            0.008878,            0.008878
                  19,             0.10869,              0.1317,                   0,             0.65122,             0.64097,             0.63094,              0.1783,            0.095363,             0.15903,                   0,            0.008812,            0.008812,            0.008812
                  20,             0.10512,             0.12379,                   0,             0.78204,             0.64676,              0.7134,             0.25904,             0.09092,             0.13593,                   0,            0.008746,            0.008746,            0.008746
                  21,             0.10718,             0.13004,                   0,             0.59244,             0.67424,             0.63569,             0.22705,            0.093575,             0.14264,                   0,             0.00868,             0.00868,             0.00868
                  22,             0.10599,             0.12244,                   0,             0.61071,             0.55113,              0.4846,               0.124,             0.09946,             0.13397,                   0,            0.008614,            0.008614,            0.008614
                  23,             0.10542,             0.12605,                   0,             0.84365,             0.70494,             0.77487,             0.29168,            0.087184,             0.13616,                   0,            0.008548,            0.008548,            0.008548
                  24,             0.10586,              0.1267,                   0,             0.72067,             0.62227,             0.62925,             0.17881,            0.096372,             0.13799,                   0,            0.008482,            0.008482,            0.008482
                  25,             0.10326,             0.13127,                   0,             0.82429,             0.70558,             0.75464,             0.28819,            0.087667,             0.13323,                   0,            0.008416,            0.008416,            0.008416
                  26,              0.1034,             0.12362,                   0,             0.74856,             0.68312,             0.69538,             0.22256,             0.09379,             0.13653,                   0,             0.00835,             0.00835,             0.00835
                  27,             0.10277,             0.13244,                   0,             0.79912,             0.68968,             0.72705,             0.23232,            0.087743,             0.13737,                   0,            0.008284,            0.008284,            0.008284
                  28,             0.10279,             0.12639,                   0,             0.80268,             0.67253,             0.72562,             0.23935,            0.093454,             0.13617,                   0,            0.008218,            0.008218,            0.008218
                  29,              0.1025,             0.12746,                   0,             0.86891,             0.71412,             0.78746,             0.32093,            0.084289,             0.13337,                   0,            0.008152,            0.008152,            0.008152
                  30,              0.1009,             0.12497,                   0,             0.84561,             0.71058,             0.77023,             0.28642,            0.087577,             0.13776,                   0,            0.008086,            0.008086,            0.008086
                  31,              0.1006,             0.12694,                   0,             0.85702,             0.74742,             0.79481,             0.32601,            0.083887,             0.13565,                   0,             0.00802,             0.00802,             0.00802
                  32,            0.098871,              0.1269,                   0,             0.83794,             0.71527,             0.78083,             0.28102,            0.088377,             0.13719,                   0,            0.007954,            0.007954,            0.007954
                  33,             0.10006,             0.12704,                   0,             0.88035,             0.75201,             0.82729,             0.35663,            0.082681,             0.13532,                   0,            0.007888,            0.007888,            0.007888
                  34,             0.10107,             0.13524,                   0,             0.82483,             0.68542,             0.72393,             0.23428,            0.088815,             0.12984,                   0,            0.007822,            0.007822,            0.007822
                  35,             0.10002,             0.12846,                   0,             0.84866,             0.75326,             0.79462,             0.31346,            0.083593,             0.13543,                   0,            0.007756,            0.007756,            0.007756
                  36,            0.099248,             0.12677,                   0,             0.82744,              0.6969,             0.74642,             0.22972,             0.09017,             0.13427,                   0,             0.00769,             0.00769,             0.00769
                  37,            0.099464,              0.1338,                   0,             0.86517,             0.76617,             0.82847,             0.35175,            0.082111,             0.13518,                   0,            0.007624,            0.007624,            0.007624
                  38,            0.099837,              0.1342,                   0,             0.74359,             0.67164,             0.68568,             0.21185,            0.091895,             0.14199,                   0,            0.007558,            0.007558,            0.007558
                  39,            0.099245,              0.1286,                   0,              0.8852,             0.75775,             0.83666,             0.34145,            0.081832,             0.13326,                   0,            0.007492,            0.007492,            0.007492
                  40,            0.098259,             0.12899,                   0,             0.73971,             0.69231,             0.73113,             0.22159,             0.08964,             0.13388,                   0,            0.007426,            0.007426,            0.007426
                  41,             0.09844,             0.13023,                   0,             0.80251,             0.70446,             0.80068,             0.35264,            0.081724,             0.13324,                   0,             0.00736,             0.00736,             0.00736
                  42,            0.097761,             0.12954,                   0,             0.83211,             0.72445,             0.78472,             0.28808,            0.086923,             0.13532,                   0,            0.007294,            0.007294,            0.007294
                  43,            0.099452,             0.12909,                   0,             0.71307,             0.60773,             0.60294,             0.17141,            0.093201,             0.13807,                   0,            0.007228,            0.007228,            0.007228
                  44,            0.098149,             0.12933,                   0,             0.84374,             0.72445,              0.8059,             0.31649,            0.083267,             0.13474,                   0,            0.007162,            0.007162,            0.007162
                  45,            0.095335,             0.12352,                   0,             0.87669,              0.7428,             0.82428,             0.31743,            0.083339,             0.13569,                   0,            0.007096,            0.007096,            0.007096
                  46,            0.096324,             0.12857,                   0,             0.87297,             0.77727,             0.84872,              0.3542,             0.08093,             0.13804,                   0,             0.00703,             0.00703,             0.00703
                  47,            0.097431,             0.13171,                   0,             0.83447,             0.74512,             0.81844,              0.3618,            0.080667,             0.13195,                   0,            0.006964,            0.006964,            0.006964
                  48,            0.097473,             0.13068,                   0,              0.8674,             0.73479,             0.81611,             0.31005,            0.084322,             0.13577,                   0,            0.006898,            0.006898,            0.006898
                  49,            0.098177,             0.13402,                   0,             0.85592,             0.75086,             0.83635,             0.35586,            0.080334,              0.1348,                   0,            0.006832,            0.006832,            0.006832
                  50,            0.095951,             0.13271,                   0,             0.78156,             0.75775,             0.80538,             0.30695,            0.084879,             0.13775,                   0,            0.006766,            0.006766,            0.006766
                  51,            0.097203,             0.13358,                   0,              0.8712,             0.78437,             0.86162,             0.37457,            0.079036,              0.1333,                   0,              0.0067,              0.0067,              0.0067
                  52,            0.097286,             0.13981,                   0,               0.844,             0.74512,             0.81987,             0.29599,            0.085239,             0.13691,                   0,            0.006634,            0.006634,            0.006634
                  53,            0.096086,             0.13298,                   0,             0.84152,             0.77612,             0.83487,             0.33751,             0.08136,             0.13449,                   0,            0.006568,            0.006568,            0.006568
                  54,            0.093524,             0.12956,                   0,             0.85611,             0.77268,             0.85022,             0.35659,            0.079644,             0.13609,                   0,            0.006502,            0.006502,            0.006502
                  55,            0.093304,             0.12695,                   0,             0.87004,             0.76349,             0.84264,             0.32462,            0.081813,             0.13464,                   0,            0.006436,            0.006436,            0.006436
                  56,            0.095101,              0.1258,                   0,             0.86664,             0.78875,             0.84533,             0.37504,            0.078826,             0.13327,                   0,             0.00637,             0.00637,             0.00637
                  57,            0.094867,             0.13428,                   0,             0.85612,             0.74627,             0.81748,             0.31468,            0.086202,              0.1356,                   0,            0.006304,            0.006304,            0.006304
                  58,            0.092854,             0.13168,                   0,             0.84974,             0.78875,             0.85313,             0.35689,            0.079833,             0.13432,                   0,            0.006238,            0.006238,            0.006238
                  59,            0.095418,             0.13503,                   0,              0.8595,              0.7726,             0.83729,              0.2981,            0.085351,             0.13557,                   0,            0.006172,            0.006172,            0.006172
