               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.099404,             0.13405,                   0,             0.79121,             0.74066,             0.75266,             0.24261,            0.089513,             0.13971,                   0,           0.0081685,           0.0081685,           0.0081685
                  39,            0.098147,             0.12862,                   0,             0.85706,              0.7775,             0.84501,             0.37627,            0.083384,             0.13803,                   0,            0.008119,            0.008119,            0.008119
                  40,            0.096981,             0.12939,                   0,             0.82121,             0.69813,             0.77054,             0.25333,            0.090078,             0.14077,                   0,           0.0080695,           0.0080695,           0.0080695
                  41,            0.098953,             0.13012,                   0,             0.78294,             0.77829,             0.83022,             0.36051,            0.084139,             0.14335,                   0,             0.00802,             0.00802,             0.00802
                  42,             0.09819,             0.12932,                   0,             0.85044,             0.73029,             0.81728,             0.30686,            0.088967,             0.13989,                   0,           0.0079705,           0.0079705,           0.0079705
                  43,            0.097037,             0.12973,                   0,             0.80642,             0.67416,             0.70587,             0.20396,            0.089924,             0.14355,                   0,            0.007921,            0.007921,            0.007921
                  44,            0.098604,             0.12865,                   0,             0.86469,             0.76899,             0.83939,             0.31635,            0.084649,             0.14358,                   0,           0.0078715,           0.0078715,           0.0078715
                  45,            0.094699,             0.12392,                   0,             0.79396,             0.75934,             0.83571,             0.33455,            0.084565,              0.1405,                   0,            0.007822,            0.007822,            0.007822
                  46,            0.096606,             0.12841,                   0,             0.88909,             0.80659,             0.86591,             0.36719,            0.082678,             0.13832,                   0,           0.0077725,           0.0077725,           0.0077725
                  47,            0.097776,             0.13172,                   0,             0.84303,             0.75415,             0.84811,             0.37382,            0.083208,             0.13633,                   0,            0.007723,            0.007723,            0.007723
                  48,            0.097311,              0.1306,                   0,             0.82472,             0.76143,             0.81005,             0.29237,            0.086847,             0.13823,                   0,           0.0076735,           0.0076735,           0.0076735
                  49,            0.097577,             0.13372,                   0,             0.87784,             0.77593,             0.84322,             0.34181,            0.082287,             0.14522,                   0,            0.007624,            0.007624,            0.007624
                  50,             0.09546,             0.13264,                   0,             0.80327,             0.73237,             0.79034,             0.27714,            0.087959,              0.1399,                   0,           0.0075745,           0.0075745,           0.0075745
                  51,            0.096998,             0.13317,                   0,             0.90463,             0.78715,             0.87736,             0.39657,            0.079859,             0.13775,                   0,            0.007525,            0.007525,            0.007525
                  52,            0.096753,             0.13941,                   0,             0.83183,              0.7832,             0.84758,             0.32023,            0.088269,             0.13986,                   0,           0.0074755,           0.0074755,           0.0074755
                  53,            0.096281,             0.13271,                   0,             0.89273,             0.77697,             0.86286,             0.37109,            0.081364,             0.13851,                   0,            0.007426,            0.007426,            0.007426
                  54,            0.092883,              0.1293,                   0,             0.87336,             0.77976,             0.85151,             0.33751,            0.084758,             0.13976,                   0,           0.0073765,           0.0073765,           0.0073765
                  55,             0.09522,             0.12636,                   0,             0.88624,             0.81846,             0.88134,             0.39302,            0.080579,             0.13933,                   0,            0.007327,            0.007327,            0.007327
                  56,            0.094538,              0.1259,                   0,             0.89786,             0.79334,              0.8657,             0.36653,            0.080926,             0.13915,                   0,           0.0072775,           0.0072775,           0.0072775
                  57,            0.094417,             0.13365,                   0,             0.89717,             0.77838,             0.86742,             0.33411,            0.086901,             0.13839,                   0,            0.007228,            0.007228,            0.007228
                  58,            0.092707,             0.13123,                   0,             0.86692,             0.80913,             0.86987,             0.37024,             0.08047,             0.13756,                   0,           0.0071785,           0.0071785,           0.0071785
                  59,            0.095181,             0.13426,                   0,             0.89255,             0.76691,             0.84805,             0.31749,             0.08575,             0.14048,                   0,            0.007129,            0.007129,            0.007129
                  60,            0.093288,              0.1248,                   0,             0.91522,             0.75519,             0.84406,             0.34415,             0.08232,             0.14023,                   0,           0.0070795,           0.0070795,           0.0070795
                  61,             0.09669,             0.13672,                   0,             0.87307,             0.80394,              0.8582,             0.35911,            0.081141,             0.13906,                   0,             0.00703,             0.00703,             0.00703
                  62,            0.094905,             0.13504,                   0,             0.89145,             0.76672,             0.86338,              0.3481,            0.083816,             0.13875,                   0,           0.0069805,           0.0069805,           0.0069805
                  63,            0.094557,             0.12847,                   0,             0.88348,             0.79046,              0.8732,             0.41022,             0.08027,              0.1421,                   0,            0.006931,            0.006931,            0.006931
                  64,            0.096095,             0.13929,                   0,             0.91617,             0.78228,             0.87876,             0.38322,            0.079862,             0.14385,                   0,           0.0068815,           0.0068815,           0.0068815
                  65,            0.093254,             0.12662,                   0,             0.89889,             0.78423,             0.86262,             0.33767,            0.083437,             0.14026,                   0,            0.006832,            0.006832,            0.006832
                  66,             0.09249,             0.13048,                   0,             0.89253,             0.79255,             0.88431,              0.3812,            0.080047,             0.13951,                   0,           0.0067825,           0.0067825,           0.0067825
                  67,            0.093327,             0.13547,                   0,             0.87199,             0.78423,             0.84633,             0.31417,            0.086154,                0.14,                   0,            0.006733,            0.006733,            0.006733
                  68,             0.09358,             0.12725,                   0,               0.904,             0.78527,             0.87006,             0.37572,            0.080383,             0.14084,                   0,           0.0066835,           0.0066835,           0.0066835
                  69,            0.092503,             0.13299,                   0,             0.90809,             0.79948,             0.87767,               0.368,            0.079416,             0.13867,                   0,            0.006634,            0.006634,            0.006634
                  70,            0.092908,             0.12858,                   0,              0.8981,             0.83195,             0.89152,             0.36314,            0.082932,             0.13786,                   0,           0.0065845,           0.0065845,           0.0065845
                  71,            0.092206,             0.13072,                   0,             0.92242,             0.83871,             0.90703,             0.41899,            0.078975,             0.13647,                   0,            0.006535,            0.006535,            0.006535
                  72,            0.094541,             0.12917,                   0,             0.90813,             0.82032,             0.90135,             0.38595,            0.081252,             0.13772,                   0,           0.0064855,           0.0064855,           0.0064855
                  73,            0.093842,             0.13254,                   0,             0.90047,             0.84467,             0.90788,             0.41315,            0.078562,              0.1364,                   0,            0.006436,            0.006436,            0.006436
                  74,            0.091721,             0.12269,                   0,             0.86947,             0.78527,             0.84113,             0.31157,            0.084685,             0.13956,                   0,           0.0063865,           0.0063865,           0.0063865
                  75,            0.094403,             0.13161,                   0,             0.91939,             0.82573,             0.89782,             0.42776,            0.077827,             0.13418,                   0,            0.006337,            0.006337,            0.006337
                  76,            0.094027,              0.1321,                   0,             0.89824,             0.79461,             0.86747,             0.35406,            0.081714,             0.13895,                   0,           0.0062875,           0.0062875,           0.0062875
                  77,            0.091991,             0.12738,                   0,             0.89809,             0.83186,             0.88766,             0.38803,            0.079113,             0.13645,                   0,            0.006238,            0.006238,            0.006238
